municipality_code,municipality_name,population_2024,facilities,sus_linked_facilities,sus_beds,existing_equipment,facilities_per_10k,sus_beds_per_10k,equipment_per_10k,sus_linked_share,health_spending_per_capita,personnel_spending_share_health_spending,investment_share_health_spending,transfer_share_health_spending,own_revenue_applied_asps_lc141,outpatient_records,outpatient_approved_quantity,outpatient_approved_value_brl,outpatient_quantity_per_1000,outpatient_value_per_capita_brl,primary_care_total_production_2025,primary_care_home_visit_share,primary_care_dental_share,primary_care_procedure_share,primary_care_production_per_1000,cluster,cluster_label,pc1,pc2
500150,Bandeirantes - MS,8276,10,6,12,9,12.083131947800869,14.499758337361042,10.874818753020783,0.6,2526.9300000000003,51.53,7.29,32.01,19.45,885,65513,234222.91999999998,7916.022232962784,28.30146447559207,104610,0.429844183156486,0.01316317751648982,0.37076761303890643,12640.16433059449,Cluster 4,Lower-density structure,-1.800380442543693,0.10966403317635859
500190,Bataguassu - MS,24004,67,25,29,226,27.912014664222628,12.08131978003666,94.15097483752707,0.373134328358209,1731.1,49.17,1.77,30.610000000000003,28.01,54452,428254,1232129.25,17840.943176137313,51.33016372271288,532268,0.43034148211051576,0.023916523255202268,0.34510246717818843,22174.137643726044,Cluster 3,Regional hubs and dense network,1.245421703794266,-0.30984393504654906
500200,Batayporã - MS,10953,22,10,0,91,20.085821236191,0,83.08226056788095,0.4545454545454546,1738.58,48.34,6.08,44.67,17.37,8594,68149,68717.57,6221.948324659911,6.273858303661098,264321,0.5417049723631494,0.01657832710983993,0.27141241142398825,24132.292522596552,Cluster 4,Lower-density structure,0.08361922040659184,1.5655058402403712
500210,Bela Vista - MS,21965,41,18,29,139,18.6660596403369,13.202822672433417,63.282494878215346,0.4390243902439024,2077.17,41.48,2.76,36.809999999999995,28.12,44153,502271,764300.88,22866.879125882086,34.796306851809696,349492,0.5325958820230506,0.016712828905954928,0.28812390555434747,15911.313453221033,Cluster 4,Lower-density structure,0.31058425612882257,0.24938320560650848
500215,Bodoquena - MS,8849,15,8,8,36,16.951067917278788,9.040569555882021,40.68256300146909,0.5333333333333333,2703.72,52.37,0.8500000000000001,34.230000000000004,25.36,4935,90159,294139.45,10188.60888235959,33.239851960673526,84795,0.4331977121292529,0.04966094698979893,0.3161743027301138,9582.4386936377,Cluster 4,Lower-density structure,-0.7909724707452115,-0.679237118189467
500220,Bonito - MS,24761,36,15,32,100,14.538992770889704,12.923549129679738,40.386091030249176,0.4166666666666667,2458.54,36.41,3.07,31.31,29.06,25649,126042,846278.21,5090.343685634667,34.17786882597633,243258,0.316034827220482,0.04858216379317432,0.4164344029795526,9824.239731836355,Cluster 4,Lower-density structure,-0.39701787402365846,0.33579801448233315
500230,Brasilândia - MS,11840,37,21,11,135,31.25,9.29054054054054,114.02027027027027,0.5675675675675675,2596.46,41.78,12.61,20.65,19.91,14646,114303,424094.71,9653.969594594593,35.818809966216214,227057,0.4527893876867923,0.020364930391928018,0.35609560594916695,19177.111486486487,Cluster 4,Lower-density structure,-0.6696869009454629,-0.7084867833607315
500240,Caarapó - MS,32406,73,25,20,348,22.526692587792386,6.171696599395174,107.38752082947603,0.3424657534246575,1609.07,53.09,4.22,34.56,22.53,61995,461570,1945960.79,14243.349996914152,60.04939795099673,398560,0.49683109193095143,0.0207271176234444,0.3319801284624649,12298.956983274704,Cluster 3,Regional hubs and dense network,1.8209776639922035,0.9410388774014489
500260,Camapuã - MS,13920,40,18,18,121,28.735632183908045,12.931034482758621,86.92528735632183,0.45,2265.09,60.44,3.23,28.85,19.29,9357,83700,597433.75,6012.931034482759,42.91909123563219,250877,0.4502285980779426,0.03736492384714422,0.2900584748701555,18022.772988505745,Cluster 3,Regional hubs and dense network,0.12159018500982448,0.3695109893372211
500270,Campo Grande - MS,954537,1418,216,1762,17273,14.855369671369472,18.459211114917494,180.95684085582855,0.152327221438646,2225.15,50.17,0.35,51.14,33.47,4824172,31109887,210712376.47,32591.598858923226,220.74825435787193,8106156,0.38977895318076783,0.026658258242254405,0.36038030849640695,8492.23864554229,Cluster 3,Regional hubs and dense network,4.036161391156082,-0.5753153472892878
500280,Caracol - MS,5115,13,12,13,44,25.41544477028348,25.41544477028348,86.02150537634408,0.9230769230769232,2855.44,35.290000000000006,2.72,26.77,19.21,7693,26227,161615.03,5127.468230694038,31.59629130009775,126511,0.3671538443297421,0.023950486518958827,0.3799353415908498,24733.333333333336,Cluster 1,Small municipalities with high local capacity,-2.5270515292371556,-1.1707919170992673
500290,Cassilândia - MS,21549,97,27,44,221,45.01368973038192,20.41858090862685,102.5569632001485,0.27835051546391754,2276.9100000000003,39.37,1.13,43.43,21.1,201855,1450572,3549750.04,67315.04942224697,164.72922362986682,360107,0.46609757655363543,0.022101764197863413,0.27670386857239654,16711.07708014293,Cluster 3,Regional hubs and dense network,1.8056120739629238,-0.5890463368381645
500295,Chapadão do Sul - MS,33791,112,25,51,314,33.14492024503566,15.09277618300731,92.92415140126069,0.22321428571428573,2818,49.32,10.97,20.92,32.87,69503,606964,3522399.4099999997,17962.29765322127,104.24075671036665,437461,0.20140995425877964,0.017489559069265602,0.6196438082480495,12946.080317244236,Cluster 3,Regional hubs and dense network,0.6721744753091667,-1.8729083781489622
500310,Corguinho - MS,4893,7,7,0,17,14.30615164520744,0,34.74351113836092,1,2680.11,47.53,10.54,33.54,20.15,1013,11936,2471.61,2439.4032291027997,0.5051318209687309,83777,0.486577461594471,0.023001539802093653,0.27520679900211276,17121.806662579198,Cluster 4,Lower-density structure,-2.446344911564778,1.7460803575476898
500315,Coronel Sapucaia - MS,14661,20,12,9,39,13.641634267785282,6.138735420503376,26.601186822181297,0.6,2284.46,30.71,30.17,53.63,28.01,2133,139388,379572.95,9507.400586590275,25.889976809221746,216238,0.4624626568873186,0.019117823879244166,0.34226176712696194,14749.198553986767,Cluster 2,High spending and outcome-alert profile,-1.8546380456198985,2.1154335623266434
500320,Corumbá - MS,99107,187,72,142,1113,18.86849566630006,14.327948580826783,112.3028645807057,0.3850267379679144,2193.21,50.01,0.19,44.83,18.64,198782,1103317,11739289.13,11132.583974895819,118.45065565499915,755313,0.5801833147317734,0.02882116420609734,0.24872734879447328,7621.187201711281,Cluster 3,Regional hubs and dense network,1.6944687671274208,0.9758577528547268
500325,Costa Rica - MS,28163,77,23,56,315,27.340837268756882,19.88424528636864,111.8488797358236,0.2987012987012987,2672.58,25.32,1.5,44.760000000000005,24.12,55571,300604,4534963.3,10673.720839399211,161.02557611049957,463545,0.5059249911011876,0.027352252747845408,0.30509874985168645,16459.361573695984,Cluster 3,Regional hubs and dense network,0.45110528976632397,-1.121220178152858
